image,xmin,ymin,xmax,ymax,label,confidence
IMG_0026BC.JPG,555,140,724,439,Crack,0.96
IMG_0068.JPG,863,128,902,176,Crack,0.96
IMG_0074.JPG,482,438,512,457,Crack,0.96
IMG_0074.JPG,584,654,633,704,Crack,0.96
IMG_0181.JPG,526,304,558,345,Crack,0.95
IMG_0182.JPG,508,138,544,191,Crack,0.96
IMG_0183.JPG,498,18,533,74,Crack,0.97
IMG_0669.JPG,791,300,816,327,Crack,0.98
IMG_0670.JPG,785,289,805,321,Crack,0.96
IMG_0671.JPG,791,300,810,330,Crack,0.97
IMG_0672.JPG,794,305,819,337,Crack,0.97
IMG_0757.JPG,791,1,837,37,Crack,0.98
IMG_0758.JPG,785,94,829,126,Crack,0.97
IMG_0759.JPG,776,230,829,260,Crack,0.97
IMG_1185.JPG,719,658,753,690,Crack,0.97
IMG_1200.JPG,753,623,786,663,Crack,0.97
IMG_1237.JPG,590,527,630,569,Crack,0.98
IMG_1258.JPG,891,294,914,322,Crack,0.97
IMG_1461.jpg,1128,1184,1199,1284,Crack,0.94
IMG_1462.jpg,1047,966,1123,1070,Crack,0.95
IMG_1463.jpg,923,676,994,813,Crack,0.96
IMG_1464.jpg,831,451,921,599,Crack,0.96
IMG_1465.jpg,751,245,844,388,Crack,0.97
IMG_1466.jpg,643,74,740,214,Crack,0.96
IMG_1467.jpg,577,0,651,88,Crack,0.94
IMG_1480.jpg,1384,1482,1455,1564,Crack,0.96
IMG_1481.jpg,1383,1276,1460,1382,Crack,0.96
IMG_1482.jpg,1390,1046,1468,1180,Crack,0.95
IMG_1483.jpg,1398,807,1471,957,Crack,0.97
IMG_1484.jpg,1394,556,1474,720,Crack,0.97
IMG_1485.jpg,1390,332,1470,502,Crack,0.97
IMG_1486.jpg,1362,130,1444,301,Crack,0.97
IMG_1487.jpg,1353,0,1417,85,Crack,0.97
IMG_1509.JPG,306,251,336,280,Crack,0.97
IMG_2561.jpg,1026,1494,1111,1615,Crack,0.96
IMG_2562.jpg,1048,1029,1163,1187,Crack,0.97
IMG_2563.jpg,1081,595,1176,763,Crack,0.98
IMG_2564.jpg,1043,242,1132,422,Crack,0.98
IMG_2565.jpg,978,14,1056,166,Crack,0.97
IMG_2592.jpg,916,720,1030,852,Crack,0.97
IMG_2592.jpg,963,431,1143,712,Crack,0.99
IMG_2605.jpg,1098,707,1184,825,Crack,0.97
IMG_2605.jpg,1136,462,1322,713,Crack,0.99
IMG_2606.jpg,905,1299,1031,1468,Crack,0.98
IMG_2606.jpg,954,1011,1143,1306,Crack,0.99
IMG_2682.JPG,803,525,836,568,Crack,0.98
IMG_2706.JPG,847,417,890,464,Crack,0.97
IMG_2707.jpg,599,933,698,1047,Crack,0.97
IMG_2707_1.JPG,805,466,829,499,Crack,0.96
IMG_2707_1.JPG,841,470,878,509,Crack,0.97
IMG_2708.jpg,549,1233,645,1373,Crack,0.97
IMG_2708_1.JPG,823,521,861,556,Crack,0.97
IMG_2708_1.JPG,780,521,811,547,Crack,0.98
IMG_2709.JPG,776,551,797,582,Crack,0.96
IMG_2709.JPG,817,554,852,583,Crack,0.97
IMG_2710.jpg,437,1850,525,1941,Crack,0.96
IMG_3182.JPG,995,237,1021,275,Crack,0.97
IMG_3182.JPG,650,216,679,258,Crack,0.97
IMG_3338.JPG,868,203,897,246,Crack,0.96
IMG_3556.JPG,520,586,560,634,Crack,0.98
IMG_3557.JPG,508,525,549,568,Crack,0.97
IMG_3558.JPG,497,440,540,483,Crack,0.98
IMG_3559.JPG,491,356,525,385,Crack,0.98
IMG_3764.JPG,778,213,800,248,Crack,0.96
IMG_3769.JPG,874,231,906,270,Crack,0.97
IMG_3872.JPG,430,562,459,592,Crack,0.98
IMG_3950.JPG,435,455,462,501,Crack,0.97
IMG_3950.JPG,828,434,856,486,Crack,0.97
IMG_3951.JPG,831,587,866,641,Crack,0.96
IMG_3951.JPG,435,580,470,623,Crack,0.97
IMG_3965.JPG,873,321,902,355,Crack,0.96
IMG_3965.JPG,471,359,506,391,Crack,0.97
IMG_3966.JPG,474,479,506,527,Crack,0.97
IMG_3966.JPG,867,458,901,512,Crack,0.97
IMG_4005.JPG,551,319,576,355,Crack,0.97
IMG_4125.JPG,640,196,670,245,Crack,0.97
IMG_4126.JPG,628,108,652,151,Crack,0.97
IMG_4127.JPG,615,50,646,99,Crack,0.97
IMG_4142.JPG,689,419,715,445,Crack,0.98
IMG_4143.JPG,677,301,701,346,Crack,0.97
IMG_4143bc.JPG,531,293,607,508,Crack,0.99
IMG_4144.JPG,655,193,692,245,Crack,0.96
IMG_4145.JPG,656,117,689,165,Crack,0.97
IMG_4205.JPG,658,293,697,352,Crack,0.98
IMG_4206.JPG,613,172,655,237,Crack,0.97
IMG_4207.JPG,579,93,619,146,Crack,0.97
IMG_4211.JPG,511,434,526,477,Crack,0.82
IMG_4211.JPG,488,451,506,489,Crack,0.96
IMG_4215.JPG,834,343,863,401,Crack,0.97
IMG_4216.JPG,796,229,835,297,Crack,0.96
IMG_4217.JPG,762,141,802,202,Crack,0.96
IMG_4217bc1.JPG,514,202,586,450,Crack,0.98
IMG_4218.JPG,738,94,779,151,Crack,0.97
IMG_4220.JPG,715,467,751,519,Crack,0.97
IMG_4221.JPG,669,322,712,380,Crack,0.97
IMG_4221bc3.JPG,632,311,719,554,Crack,0.98
IMG_4222.JPG,628,182,672,253,Crack,0.96
IMG_4223.JPG,597,94,634,154,Crack,0.98
IMG_4239.JPG,557,640,602,690,Crack,0.97
IMG_4597.JPG,831,366,857,403,Crack,0.97
IMG_4603.JPG,817,378,849,410,Crack,0.97
IMG_4610.JPG,851,266,886,305,Crack,0.97
IMG_4965.JPG,402,641,429,686,Crack,0.95
IMG_4966.JPG,402,559,436,605,Crack,0.96
IMG_4967.JPG,405,446,439,494,Crack,0.97
IMG_4973.JPG,501,257,534,297,Crack,0.97
IMG_4974.JPG,490,154,524,199,Crack,0.97
IMG_5007.JPG,517,238,567,332,Crack,0.16
IMG_5232.jpg,1267,536,1377,665,Crack,0.98
IMG_5554.jpg,1120,1448,1195,1566,Crack,0.86
IMG_5564.jpg,1064,1775,1167,1944,Crack,0.54
IMG_5571.jpg,774,1210,832,1286,Crack,0.19
IMG_5571.jpg,337,1191,399,1272,Crack,0.49
IMG_5571.jpg,1612,1818,1683,1933,Crack,0.58
IMG_5571.jpg,1079,1635,1173,1791,Crack,0.85
IMG_5646poi.JPG,546,310,633,439,Crack,1
IMG_5647.JPG,844,580,866,605,Crack,0.97
IMG_5660.JPG,817,549,845,585,Crack,0.96
IMG_5683.JPG,1015,592,1041,625,Crack,0.97
IMG_5854.JPG,584,679,605,701,Crack,0.97
IMG_5894.JPG,531,379,566,406,Crack,0.95
IMG_5894.JPG,842,360,870,380,Crack,0.96
IMG_5899.jpg,1182,1211,1268,1363,Crack,0.85
IMG_6042.jpg,2033,431,2092,509,Crack,0.33
IMG_6043.jpg,1453,1,1538,111,Crack,0.76
IMG_6183POI2.JPG,476,387,574,526,Crack,1
IMG_6285.JPG,629,495,660,541,Crack,0.97
IMG_6304.JPG,500,350,537,411,Crack,0.97
IMG_6305.JPG,488,353,520,406,Crack,0.97
IMG_6306.JPG,450,345,488,399,Crack,0.98
IMG_6307.JPG,442,349,474,401,Crack,0.97
IMG_6311.JPG,728,261,765,349,Crack,0.98
IMG_6550poi.JPG,541,375,588,501,Crack,0.99
IMG_7186.JPG,561,397,590,434,Crack,0.97
IMG_7595.JPG,693,436,712,489,Crack,0.92
IMG_7595.JPG,712,441,735,489,Crack,0.98
IMG_7596.JPG,757,461,787,522,Crack,0.95
IMG_7596POI.JPG,503,186,579,510,Crack,0.91
IMG_7596POI.JPG,583,204,686,535,Crack,0.94
IMG_7597.JPG,645,618,669,670,Crack,0.97
IMG_7597.JPG,619,613,650,672,Crack,0.97
IMG_7598.JPG,588,553,613,602,Crack,0.96
IMG_7598.JPG,611,559,640,603,Crack,0.96
IMG_7599.JPG,581,461,605,501,Crack,0.95
IMG_7600.JPG,629,545,642,579,Crack,0.26
IMG_7600.JPG,645,541,666,581,Crack,0.97
IMG_7601.JPG,620,617,646,653,Crack,0.97
IMG_7633.JPG,629,274,661,313,Crack,0.96
IMG_7633.JPG,936,285,963,331,Crack,0.97
IMG_8549.JPG,783,248,808,289,Crack,0.98
IMG_8736.JPG,634,95,678,143,Crack,0.96
IMG_8784.JPG,904,194,930,228,Crack,0.98
IMG_8805.JPG,597,511,621,545,Crack,0.97
IMG_8928.JPG,790,392,817,431,Crack,0.96
IMG_8928BC1.JPG,503,225,588,497,Crack,0.97
IMG_8929.JPG,776,444,807,489,Crack,0.98
IMG_8948.JPG,860,210,881,242,Crack,0.97
IMG_8949.JPG,840,277,864,312,Crack,0.97
IMG_8950.JPG,815,349,845,388,Crack,0.97
IMG_8951.JPG,811,410,842,451,Crack,0.97
IMG_8952.JPG,815,467,848,510,Crack,0.91
IMG_8953.JPG,802,515,834,556,Crack,0.97
IMG_8954.JPG,805,564,834,602,Crack,0.97
IMG_8970.JPG,451,456,480,482,Crack,0.97
img-0475.jpg,1766,922,1830,1060,Crack,0.96
img-0476.jpg,1785,1295,1867,1465,Crack,0.97
img-0477.jpg,1815,1601,1896,1765,Crack,0.97
img-0478.jpg,1854,1832,1923,1943,Crack,0.96
img-0485.jpg,553,1848,639,1938,Crack,0.4
img-0491.jpg,1436,10,1561,183,Crack,0.47
img-0491.jpg,1811,322,1875,399,Crack,0.96
img-0492.jpg,1781,700,1867,802,Crack,0.98
img-0493.jpg,1746,1098,1831,1255,Crack,0.97
img-0503.jpg,1663,260,1716,324,Crack,0.46
img-0504.jpg,1625,531,1682,608,Crack,0.97
img-0505.jpg,1616,827,1689,938,Crack,0.95
img-0506.jpg,1591,1169,1667,1284,Crack,0.96
img-0507.jpg,1604,1430,1674,1559,Crack,0.97
img-0508.jpg,1651,1638,1697,1741,Crack,0.96
img-0532.jpg,1197,974,1280,1050,Crack,0.97
img-0533.jpg,1000,844,1118,920,Crack,0.97
img-0534.jpg,831,695,961,784,Crack,0.98
img-0535.jpg,655,551,805,654,Crack,0.98
img-0536.jpg,512,378,659,479,Crack,0.98
img-0537.jpg,359,212,493,310,Crack,0.97
img-0538.jpg,273,71,401,182,Crack,0.97
img-0539.jpg,237,40,314,106,Crack,0.98
img-0544.jpg,956,1433,1015,1552,Crack,0.97
img-0545.jpg,953,1266,1019,1398,Crack,0.97
img-0546.jpg,951,1017,1025,1143,Crack,0.96
img-0547.jpg,963,795,1028,913,Crack,0.98
img-0548.jpg,968,542,1034,645,Crack,0.97
img-0549.jpg,987,277,1044,359,Crack,0.97
img-0550.jpg,993,11,1054,79,Crack,0.95
img-0551.jpg,1209,1212,1261,1288,Crack,0.56
img-0557.jpg,1018,252,1076,341,Crack,0.44
img-0558.jpg,1002,0,1071,73,Crack,0.21
img-0560.jpg,1270,1403,1363,1517,Crack,0.82
img-0566.jpg,999,0,1059,63,Crack,0.73
img-0567.jpg,923,1489,965,1592,Crack,0.95
img-0568.jpg,928,1409,992,1505,Crack,0.96
img-0569.jpg,957,1158,1019,1279,Crack,0.97
img-0712.jpg,778,1033,866,1100,Crack,0.31
img-0713.jpg,2459,1183,2520,1239,Crack,0.98
img-0714.jpg,2310,1193,2420,1289,Crack,0.97
img-0715.jpg,2117,1224,2250,1305,Crack,0.97
img-0716.jpg,1891,1223,2022,1306,Crack,0.97
img-0717.jpg,1635,1209,1723,1280,Crack,0.97
img-0718.jpg,1443,1213,1536,1250,Crack,0.94
img-0731.jpg,568,1066,745,1160,Crack,0.98
img-0732.jpg,392,1103,550,1160,Crack,0.98
img-0733.jpg,264,1094,416,1170,Crack,0.98
img-0752.jpg,2183,1452,2244,1519,Crack,0.97
img-0753.jpg,2012,1210,2081,1287,Crack,0.96
img-0754.jpg,1842,947,1928,1045,Crack,0.98
img-0755.jpg,1636,688,1722,795,Crack,0.97
img-0756.jpg,1542,467,1639,573,Crack,0.96
img-0757.jpg,1362,312,1467,428,Crack,0.98
img-0758.jpg,1233,183,1300,256,Crack,0.97
img-0784.jpg,1535,798,1603,888,Crack,0.97
img-0785.jpg,1682,1003,1762,1107,Crack,0.97
img-0786.jpg,1765,1226,1882,1386,Crack,0.98
img-0787.jpg,1922,1491,2045,1640,Crack,0.98
img-0788.jpg,2042,1726,2175,1879,Crack,0.97
img-0790.jpg,2171,1702,2259,1774,Crack,0.27
img-0797.jpg,1284,1866,1348,1939,Crack,0.34
img-0808.jpg,1691,691,1762,788,Crack,0.97
img-0809.jpg,1755,883,1843,1012,Crack,0.97
img-0812.jpg,588,603,645,666,Crack,0.11
img-0823.jpg,964,553,1020,639,Crack,0.27
img-0828.jpg,496,331,555,400,Crack,0.27
img-0891.jpg,1626,1180,1689,1237,Crack,0.97
img-0892.jpg,1450,1060,1546,1127,Crack,0.98
img-0893.jpg,1250,953,1344,1021,Crack,0.98
img-0894.jpg,1053,847,1164,924,Crack,0.98
img-0895.jpg,878,725,988,814,Crack,0.97
img-0896.jpg,699,621,824,701,Crack,0.97
img-0897.jpg,592,508,712,592,Crack,0.96
img-0898.jpg,515,392,626,482,Crack,0.96
img-0901.jpg,1240,1112,1315,1171,Crack,0.21
img-1426.jpg,977,1238,1028,1311,Crack,0.96
img-1427.jpg,966,678,1032,813,Crack,0.95
img-1428.jpg,1000,396,1072,562,Crack,0.97
img-1429.jpg,1028,45,1089,205,Crack,0.98
img-1452.jpg,1093,1342,1144,1410,Crack,0.13
img-1460.jpg,1163,1402,1214,1466,Crack,0.97
img-1461.jpg,1128,1184,1199,1284,Crack,0.94
img-1462.jpg,1047,966,1123,1071,Crack,0.95
img-1463.jpg,923,675,993,813,Crack,0.96
img-1464.jpg,831,451,920,598,Crack,0.95
img-1465.jpg,751,244,843,387,Crack,0.97
img-1466.jpg,643,74,740,214,Crack,0.96
img-1467.jpg,578,0,650,87,Crack,0.93
img-1480.jpg,1385,1481,1455,1563,Crack,0.96
img-1481.jpg,1383,1276,1460,1382,Crack,0.96
img-1482.jpg,1390,1046,1468,1179,Crack,0.95
img-1483.jpg,1398,807,1471,957,Crack,0.97
img-1484.jpg,1394,555,1473,719,Crack,0.97
img-1485.jpg,1389,331,1468,501,Crack,0.97
img-1486.jpg,1363,130,1443,301,Crack,0.97
img-1487.jpg,1353,0,1417,85,Crack,0.97
img-1489.jpg,1253,1894,1308,1944,Crack,0.25
img-1764.jpg,1653,1718,1744,1944,Crack,0.92
img-1765.jpg,1617,1719,1708,1942,Crack,0.78
img-1766.jpg,1659,1730,1743,1939,Crack,0.23
img-1773.jpg,1720,1690,1807,1924,Crack,0.44
img-1774.jpg,1748,1684,1838,1936,Crack,0.74
img-1775.jpg,1724,1686,1807,1923,Crack,0.55
img-1782.jpg,1737,1671,1820,1918,Crack,0.22
img-1783.jpg,1752,1663,1840,1929,Crack,0.35
img-1784.jpg,1748,1667,1835,1929,Crack,0.45
img-1818.jpg,1335,1066,1427,1200,Crack,0.98
img-1819.jpg,1523,748,1615,884,Crack,0.97
img-2305.jpg,875,1840,991,1938,Crack,0.16
img-2305.jpg,1092,1725,1156,1845,Crack,0.8
img-2306.jpg,876,1836,990,1939,Crack,0.26
img-2306.jpg,1088,1704,1162,1839,Crack,0.62
